,p,b,c,f,k,x,g,s,y,e,n,w,t,m,a,h,r,u,o,l,v,d
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.0,0.019218025182239893,0.0019880715705765406,0.4552683896620278,0.0066269052352551355,0.5168986083499006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.0,0.0,0.0,0.3518886679920477,0.0,0.0,0.0026507620941020544,0.24519549370444002,0.4002650762094102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.039761431411530816,0.05765407554671968,0.005964214711729622,0.0,0.0,0.0,0.3711066931742876,0.0,0.30881378396288933,0.00728959575878065,0.06560636182902585,0.14380384360503645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.7117296222664016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2882703777335984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.11928429423459244,0.0,0.08151093439363817,0.7388999337309476,0.0,0.0,0.0,0.0,0.0,0.0,0.04241219350563287,0.0,0.0,0.017892644135188866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.9913850231941683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008614976805831677,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.949635520212061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05036447978793903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.7899271040424122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2100728959575878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.2876076872100729,0.0,0.0,0.0,0.02982107355864811,0.0,0.2292909211398277,0.0,0.012591119946984758,0.0,0.04638833664678595,0.10271703114645461,0.0,0.0,0.0,0.2597746852220013,0.010603048376408217,0.021206096752816435,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8687872763419483,0.0,0.0,0.1312127236580517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.8581842279655401,0.02253147779986746,0.0,0.0,0.0,0.0,0.0,0.0,0.11928429423459244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.06428098078197482,0.6255798542080848,0.0,0.0,0.3055003313452618,0.004638833664678595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.06560636182902585,0.607687210072896,0.0,0.0,0.30417495029821073,0.02253147779986746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.20675944333996024,0.20278330019880716,0.017892644135188866,0.0,0.0,0.0,0.0,0.0,0.004638833664678595,0.0,0.19814446653412857,0.3697813121272366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.20410868124585818,0.20609675281643472,0.017892644135188866,0.0,0.0,0.0,0.0,0.0,0.004638833664678595,0.0,0.19748177601060304,0.3697813121272366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004638833664678595,0.0,0.0,0.9953611663353215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017892644135188866,0.0,0.03313452617627568,0.0,0.0,0.0,0.0,0.0,0.9489728296885355,0.0,0.0,0.0
19,0.3697813121272366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004638833664678595,0.017892644135188866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.607687210072896,0.0,0.0
20,0.0,0.0,0.0,0.0,0.10006626905235255,0.0,0.0,0.0,0.0,0.0,0.10072895957587806,0.027170311464546057,0.0,0.0,0.0,0.7388999337309476,0.03313452617627568,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,0.027170311464546057,0.0,0.0,0.0,0.0,0.1709741550695825,0.30881378396288933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49304174950298213,0.0
22,0.20410868124585818,0.0,0.0,0.0,0.0,0.0,0.35255135851557323,0.0,0.0,0.0,0.0,0.0,0.0,0.015241882041086813,0.0,0.0,0.0,0.12524850894632206,0.0,0.00927766732935719,0.0,0.2935719019218025
